langCode	categoryNames	redirectNames	disambiguationCategoryNames	mainTemplates	mainInlines	seeAlsoTemplates	seeAlsoInlines	seeAlsoHeaders	topLevelCategoryNames	alternativeArticleNamespaces
en	Category	#REDIRECT	Disambiguation pages	\QMain\E	\QMain Article –\E	\QSee\E,\QSee also\E,\QFurther2\E,\Qseealso\E,\Qdetails\E,\QFurther\E	\QSee also\E	\QSee Also\E		
de	Category,Kategorie	#WEITERLEITUNG,#REDIRECT	Begriffsklärung	\QHauptartikel\E	\Q→ Hauptartikel\E,\QHauptartikel\E	\QSiehe auch\E	\QSiehe auch\E	\QSiehe auch\E		
fr	Category,Catégorie	#REDIRECT,#REDIRECTION	Homonymie	\QLoupe\E,\QArticle détaillé\E,\QArticle connexe\E,\Qloupe\E,\QPrincipal\E		\QVoir\E,\QVoir aussi\E		\QVoir aussi\E,\QVegeu també\E		
nl	Category,Categorie	#DOORVERWIJZING,#REDIRECT	Wikipedia:Doorverwijspagina	\QZie hoofdartikel\E		\QZie ook\E	\QZie ook\E	\QZie ook\E		
it	Category,Categoria	#RINVIO,#REDIRECT,#RINVIA,#RIMANDO	Disambigua		\QVedi anche\E	\Qvedi anche\E,\Qmain\E		\QVoci correlate\E		
pl	Category,Kategoria	#TAM,#PATRZ,#REDIRECT,#PRZEKIERUJ	Strony ujednoznaczniające	\QVer artigo principal\E,\Qkategoria główna\E,\Qmainsec\E,\Qmain\E		\QAnexo\E,\QDetails\E		\QZobacz też\E		
es	Categoría,Category	#REDIRECT,#REDIRECCION,#REDIRECCIÓN	Wikipedia:Desambiguación	\QAP\E	\QArtículo principal\E	\QVT\E	\QVéase\E,\QVéase también\E	\QVéase también\E		Anexo;104
ru	Category,Категория	#перенапр,#перенаправление,#REDIRECT	Многозначные термины	\Qосновная статья\E,\QMain\E,\Qmain\E	\QОсновная статья\E	\Qсмотри также\E,\QСм. также\E,\Qsee\E,\Qalso\E,\Qsee also\E	\QСм. также\E	\QСм. Также\E		
ja	カテゴリ,Category	＃リダイレクト,#REDIRECT,#転送,＃転送,#リダイレクト	曖昧さ回避	\Qmain2\E,\Qmain\E		\QSee also\E,\Qseealso\E,\Qsee\E		\Q関連項目\E,\Q參見\E		
pt	Category,Categoria	#REDIRECT,#REDIRECIONAMENTO	Desambiguação	\Qprincipal\E,\QVer artigo principal\E,\QAP\E,\QArtigo principal\E,\QMain\E	\QVer artigos principais\E	\QVertambém\E,\QAnexo\E,\Qver anexo\E,\QVer página anexa\E		\QVer também\E		Anexo;102
zh	Category,分類,分类	#REDIRECT,#重定向	消歧义	\Q主\E,\Q主條目\E,\QMain\E		\Q参看\E,\Q参见\E,\Qsee also\E,\QSeealso\E		\Q支援平台\E,\Q参看\E,\Q参阅\E,\Q请参阅\E,\Q參閱\E,\Q參考\E,\Q参见\E,\Q其它\E,\Q參見\E		
sv	Category,Kategori	#REDIRECT,#OMDIRIGERING	Förgreningssidor	\QFördjupning\E,\QHuvudartikel\E	\QHuvudartikel\E	\QSe även\E	\QSe även\E	\QSe även\E		
vi	Category,Thể_loại	#đổi,#REDIRECT								
uk	Category,Категорія,Категория	#перенаправление,#перенапр,#REDIRECT,#ПЕРЕНАПРАВЛЕННЯ,#ПЕРЕНАПР	Багатозначні топоніми	\Qосновная статья\E,\QCatmore\E,\QMain\E,\Qдокладніше\E,\Qmain\E,\QОсновна стаття\E	\QОсновная статья\E	\Qсмотри также\E,\QСм. также\E,\Qsee\E,\Qalso\E,\Qsee also\E	\QСм. также\E,\QДив. також статтю\E,\QДив. також\E	\QСм. Также\E,\QДив. Також\E,\QДив також\E,\QДивіться також\E		
ca	Category,Categoria	#REDIRECT	Pàgines de desambiguació	\Qcategoria principal\E,\QAP\E,\QPrincipal\E,\Qmain\E	\QArticle principal\E	\QVT\E	\QVegeu també\E	\QVegeu també\E		
no	Category,Kategori	#REDIRECT,#OMDIRIGERING	Pekere	\Qutdypende\E,\Qhoved\E,\QUtdypende artikkel\E,\Qhovedartikkel\E	\QSe utdypende artikkel\E,\QHovedartikkel\E,\QUtdypende artikler\E,\QUtdypende artikkel\E	\Qse også\E,\Qse_også\E,\Qse\E	\QUtfyllende artikkel\E,\QSe også\E	\QSe også\E		
fi	Category,Luokka	#OHJAUS,#UUDELLEENOHJAUS,#REDIRECT	Täsmennyssivut	\QPääartikkeli\E	\QPääartikkeli\E	\QKatso myös\E	\QKatso myös\E	\QKatso myös\E		
cs	Category,Kategorie	#REDIRECT,#PŘESMĚRUJ	Rozcestníky	\QHlavní článek\E	\QHlavní článek\E	\Qpodrobně\E,\Qviz též\E,\QPodrobně\E	\QViz též\E	\QSouvisející články\E		
hu	Category,Kategória	#ÁTIRÁNYÍTÁS,#REDIRECT	Egyértelműsítő lapok	\QFő\E,\QBővebben\E		\QLásd\E,\QLásd még\E	\QLásd még\E	\QLásd még\E		
ko	Category,분류	#REDIRECT,#넘겨주기	동음이의어_문서	\Q본문\E		\Q참고\E,\Q다른 뜻\E,\Q참조\E		\Q같이 보기\E,\Q함께 보기\E		
fa	Category,رده	#REDIRECT,#تغییرمسیر								
id	Category,Kategori	#REDIRECT,#ALIH	Disambiguasi	\Qutama\E,\Qmain article\E,\QMain\E		\QSee\E,\Qvandal\E,\Qsee also\E		\QLihat pula\E		
tr	Category,Kategori	#REDIRECT,#YÖNLENDİRME,#YÖNLENDİR	Anlam ayrımı	\QAnamadde\E,\QAna\E,\Qana madde\E	\QAsıl Makale;\E,\QAna Madde\E,\QAsıl makale\E	\QSee also\E,\QAyrıca bakınız\E,\QBakınız\E	\Qayrıca bakınız\E	\QBakınız\E,\QAyrıca Bakınız\E		
ar	Category,تصنيف	#تحويل,#REDIRECT	صفحات_توضيح							
ro	Category,Categorie	#REDIRECT,#REDIRECTEAZA	Dezambiguizare	\Qarticolprincipal\E,\QAP\E,\QARP\E,\Qarticol principal\E,\Qmain\E	\QVezi articolul principal\E,\QArticol principal\E,\QArticole principale\E		\QSee also\E,\QVezi și\E,\Qvezi articolul\E	\QVezi și\E		
sk	Category,Kategória	#presmeruj,#REDIRECT	Výhonky	\QHlavný článok\E	\QHlavný článok o spôsoboch tlače pozri\E,\QHlavný článok\E	\QPozri aj\E	\QPozri aj\E,\QPozri články\E	\QPozri aj\E		
eo	Category,Kategorio	#ALIDIREKTI,#ALIDIREKTU,#REDIRECT,#AL								
da	Category,Kategori	#REDIRECT	Flertydig	\QUddybende\E,\Quddybende artikel\E,\Qhovedartikel\E,\QMain\E	\QUddybende artikel\E	\Qse også\E		\QSe også\E		
sr	Category,Категорија,Kategorija	#ПРЕУСМЈЕРИ,#redirect,#Преусмјери,#REDIRECT,#преусмери,#преусмјери,#Преусмери,#ПРЕУСМЕРИ								
lt	Category,Kategorija	#REDIRECT,#PERADRESAVIMAS								
ms	Category,Kategori	#REDIRECT,#LENCONG								
he	Category,קטגוריה	#הפניה,#REDIRECT	פירושונים	\Qערך מורחב\E,\Qהפניה לערך מורחב\E		\Qראו גם\E		\Qראו גם\E		
eu	Category,Kategoria	#REDIRECT,#BIRZUZENDU								
sl	Category,Kategorija	#REDIRECT,#PREUSMERITEV								
bg	Category,Категория	#REDIRECT,#виж,#пренасочване								
kk	Sanat,Category,سانات,Санат	#АЙДАУ,#REDIRECT								
vo	Category,Klad	#REDIRECT								
hr	Category,Kategorija	#REDIRECT,#PREUSMJERI								
war	Category,Kaarangay	#REDIRECT								
hi	Category,श्रेणी	#REDIRECT								
et	Category,Kategooria	#suuna,#REDIRECT								
gl	Categoría,Category,Categoria	#REDIRECT,#REDIRECIONAMENTO,#REDIRECCIÓN		\Qprincipal\E,\QVer artigo principal\E,\QAP\E,\QArtigo principal\E,\QMain\E	\QVer artigos principais\E	\QVertambém\E,\QAnexo\E,\Qver anexo\E,\QVer página anexa\E		\QVer também\E		
az	Category,Kateqoriya	#İSTİQAMƏTLƏNDİRMƏ,#İSTİQAMƏTLƏNDİR,#REDIRECT								
nn	Category,Kategori	#omdiriger,#REDIRECT								
simple	Category	#REDIRECT	Disambiguation	\Qdetails\E,\QMain\E	\QMain Article –\E,\QMain article\E	\QSee\E,\Qfurther2\E,\QSee also\E,\QFurther2\E,\Qseealso\E,\Qfurther\E,\Qdetails\E,\QOther pages\E,\QFurther\E	\QSee also\E	\QSee also\E,\QRelated pages\E,\QSee Also\E,\QOther pages\E		
la	Category,Categoria	#REDIRECT								
el	Category,Κατηγορία	#ΑΝΑΚΑΤΕΥΘΥΝΣΗ,#REDIRECT								
th	Category,หมวดหมู่	#เปลี่ยนทาง,#REDIRECT								
new	Category,पुचः	#REDIRECT								
roa-rup	Category	#REDIRECT								
oc	Category,Categoria	#REDIRECT,#REDIRECCION								
sh	Category,Kategorija	#PREUSMERI,#REDIRECT,#PREUSMJERI								
ka	კატეგორია,Category	#REDIRECT,#გადამისამართება								
mk	Category,Категорија	#Пренасочување,#REDIRECT,#види,#ПРЕНАСОЧУВАЊЕ,#пренасочување								
tl	Category,Kaurian,Kategorya	#REDIRECT								
ht	Category,Kategori,Catégorie	#REDIRECT,#REDIRECTION		\QLoupe\E,\QArticle détaillé\E,\QArticle connexe\E,\Qloupe\E,\QPrincipal\E		\QVoir\E,\QVoir aussi\E		\QVoir aussi\E,\QVegeu també\E		
pms	Category,Categorìa,Categoria	#RINVIO,#REDIRECT,#RINVIA,#RIMANDO			\QVedi anche\E	\Qvedi anche\E,\Qmain\E		\QVoci correlate\E		
te	Category,వర్గం	#REDIRECT,#దారిమార్పు								
ta	பகுப்பு,Category	#வழிமாற்று,#REDIRECT								
be-x-old	Category,Катэгорыя	#REDIRECT,#перанакіраваньне								
be	Category,Катэгорыя	#REDIRECT								
br	Category,Rummad	#ADKAS,#REDIRECT								
ceb	Category,Kategoriya	#REDIRECT								
lv	Category,Kategorija	#REDIRECT								
sq	Category,Kategori,Kategoria	#REDIRECT,#RIDREJTO								
jv	Category,Kategori	#REDIRECT,#ALIH		\Qutama\E,\Qmain article\E,\QMain\E		\QSee\E,\Qvandal\E,\Qsee also\E		\QLihat pula\E		
mg	Sokajy,Category,Catégorie	#FIHODINANA,#REDIRECT,#REDIRECTION		\QLoupe\E,\QArticle détaillé\E,\QArticle connexe\E,\Qloupe\E,\QPrincipal\E		\QVoir\E,\QVoir aussi\E		\QVoir aussi\E,\QVegeu també\E		
cy	Category,Categori	#ailgyfeirio,#REDIRECT,#ail-cyfeirio								
lb	Category,Kategorie	#VIRULEEDUNG,#WEITERLEITUNG,#REDIRECT		\QHauptartikel\E	\Q→ Hauptartikel\E,\QHauptartikel\E	\QSiehe auch\E	\QSiehe auch\E	\QSiehe auch\E		
mr	Category,वर्ग	#REDIRECT,#पुर्ननिर्देशन,#पुनर्निर्देशन								
is	Category,Flokkur	#TILVÍSUN,#REDIRECT,#tilvísun								
bs	Category,Kategorija	#REDIRECT,#PREUSMJERI								
yo	Category,Ẹ̀ka	#REDIRECT								
an	Categoría,Category	#REENDRECERA,#REDIRECT,#REDIRECCION,#ENDRECERA,#REDIRECCIÓN		\QAP\E	\QArtículo principal\E	\QVT\E	\QVéase\E,\QVéase también\E	\QVéase también\E		
lmo	Category,Categuria,Categoria	#RINVIO,#REDIRECT,#RINVIA,#RIMANDO			\QVedi anche\E	\Qvedi anche\E,\Qmain\E		\QVoci correlate\E		
hy	Category,Կատեգորիա	#REDIRECT,#ՎԵՐԱՀՂՈՒՄ								
fy	Category,Kategory	#REDIRECT								
bpy	থাক,Category,বিষয়শ্রেণী	#REDIRECT								
ml	വിഭാഗം,Category,വി,വർഗ്ഗം,വ	#REDIRECT,#തിരിച്ചുവിടൽ,#തിരിച്ചുവിടുക								
pnb	Category	#REDIRECT								
sw	Category,Jamii	#REDIRECT								
bn	Category,বিষয়শ্রেণী	#REDIRECT								
io	Category,Kategorio	#REDIRECT								
af	Category,Kategorie	#AANSTUUR,#REDIRECT								
gu	Category,શ્રેણી	#REDIRECT								
zh-yue	Category,分類	#REDIRECT								
ne	Category,श्रेणी	#REDIRECT								
nds	Category,Kategorie	#WEITERLEITUNG,#wiederleiden,#REDIRECT		\QHauptartikel\E	\Q→ Hauptartikel\E,\QHauptartikel\E	\QSiehe auch\E	\QSiehe auch\E	\QSiehe auch\E		
ur	Category,زمرہ	#REDIRECT								
ku	Category,Kategorî	#REDIRECT								
uz	Category,Kategoriya,Turkum	#REDIRECT								
ast	Categoría,Category	#REDIRECT								
scn	Category,Catigurìa,Categoria	#RINVIO,#REDIRECT,#RINVIA,#RIMANDO			\QVedi anche\E	\Qvedi anche\E,\Qmain\E		\QVoci correlate\E		
su	Category,Kategori	#REDIRECT,#ALIH		\Qutama\E,\Qmain article\E,\QMain\E		\QSee\E,\Qvandal\E,\Qsee also\E		\QLihat pula\E		
qu	Categoría,Category,Katiguriya	#REDIRECT,#REDIRECCION,#REDIRECCIÓN,#PUSAPUNA		\QAP\E	\QArtículo principal\E	\QVT\E	\QVéase\E,\QVéase también\E	\QVéase también\E		
diq	Category	#REDIRECT								
ba	Category,Категория	#перенапр,#перенаправление,#REDIRECT		\Qосновная статья\E,\QMain\E,\Qmain\E	\QОсновная статья\E	\Qсмотри также\E,\QСм. также\E,\Qsee\E,\Qalso\E,\Qsee also\E	\QСм. также\E	\QСм. Также\E		
tt	Törkem,Category,Төркем,Категория	#перенапр,#перенаправление,#REDIRECT,#ЮНӘЛТҮ		\Qосновная статья\E,\QMain\E,\Qmain\E	\QОсновная статья\E	\Qсмотри также\E,\QСм. также\E,\Qsee\E,\Qalso\E,\Qsee also\E	\QСм. также\E	\QСм. Также\E		
my	Category	#REDIRECT								
ga	Rang,Category,Catagóir	#athsheoladh,#REDIRECT								
cv	Category,Категори,Категория	#перенапр,#перенаправление,#REDIRECT		\Qосновная статья\E,\QMain\E,\Qmain\E	\QОсновная статья\E	\Qсмотри также\E,\QСм. также\E,\Qsee\E,\Qalso\E,\Qsee also\E	\QСм. также\E	\QСм. Также\E		
ia	Category,Categoria	#REDIRECT								
nap	Categurìa,Category,Categoria	#RINVIO,#REDIRECT,#RINVIA,#RIMANDO			\QVedi anche\E	\Qvedi anche\E,\Qmain\E		\QVoci correlate\E		
bat-smg	Category,Kateguorėjė,Kategorija	#REDIRECT,#PERADRESAVIMAS								
map-bms	Category,Kategori	#REDIRECT,#ALIH		\Qutama\E,\Qmain article\E,\QMain\E		\QSee\E,\Qvandal\E,\Qsee also\E		\QLihat pula\E		
wa	Category,Categoreye,Catégorie	#REDIRECT,#REDIRECTION		\QLoupe\E,\QArticle détaillé\E,\QArticle connexe\E,\Qloupe\E,\QPrincipal\E		\QVoir\E,\QVoir aussi\E		\QVoir aussi\E,\QVegeu també\E		
als	Category,Kategorie	#WEITERLEITUNG,#REDIRECT		\QHauptartikel\E	\Q→ Hauptartikel\E,\QHauptartikel\E	\QSiehe auch\E	\QSiehe auch\E	\QSiehe auch\E		
kn	Category,ವರ್ಗ	#REDIRECT								
am	Category,መደብ	#REDIRECT								
gd	Category	#REDIRECT								
bug	Category	#REDIRECT								
tg	Category,Гурӯҳ	#REDIRECT								
zh-min-nan	Category	#REDIRECT								
yi	Category,קאטעגאריע,קאַטעגאָריע,קטגוריה	#הפניה,#REDIRECT,#ווייטערפירן		\Qערך מורחב\E,\Qהפניה לערך מורחב\E		\Qראו גם\E		\Qראו גם\E		
vec	Category,Categoria	#RINVIO,#REDIRECT,#RINVIA,#RIMANDO,#VARDA			\QVedi anche\E	\Qvedi anche\E,\Qmain\E		\QVoci correlate\E		
sco	Category	#REDIRECT								
hif	Category	#REDIRECT								
roa-tara	Category	#REDIRECT								
os	Category,Категори,Категория	#перенапр,#перенаправление,#REDIRECT,#РАРВЫСТ		\Qосновная статья\E,\QMain\E,\Qmain\E	\QОсновная статья\E	\Qсмотри также\E,\QСм. также\E,\Qsee\E,\Qalso\E,\Qsee also\E	\QСм. также\E	\QСм. Также\E		
arz	Category,تصنيف	#تحويل,#REDIRECT								
nah	Categoría,Category,Neneuhcāyōtl	#REDIRECT,#REDIRECCION,#REDIRECCIÓN		\QAP\E	\QArtículo principal\E	\QVT\E	\QVéase\E,\QVéase también\E	\QVéase también\E		
mzn	Category,رده,رج	#REDIRECT,#تغییرمسیر,#بور								
sah	Category,Категория	#перенапр,#перенаправление,#REDIRECT		\Qосновная статья\E,\QMain\E,\Qmain\E	\QОсновная статья\E	\Qсмотри также\E,\QСм. также\E,\Qsee\E,\Qalso\E,\Qsee also\E	\QСм. также\E	\QСм. Также\E		
ky	Category	#REDIRECT								
mn	Category,Ангилал	#REDIRECT								
sa	Category,वर्गः,श्रेणी	#REDIRECT,#पुनर्निदेशन								
pam	Category	#REDIRECT								
hsb	Category,Kategorie,Kategorija	#WEITERLEITUNG,#REDIRECT		\QHauptartikel\E	\Q→ Hauptartikel\E,\QHauptartikel\E	\QSiehe auch\E	\QSiehe auch\E	\QSiehe auch\E		
