Love,Sex,6.77,1
Tiger,Cat,7.35,2
Tiger,Tiger,10,3
Book,Paper,7.46,4
Computer,Keyboard (computing),7.62,5
Computer,Internet,7.58,6
Fixed-wing aircraft,Automobile,5.77,7
Train,Automobile,6.31,8
Telephone,Communication,7.5,9
Television,Radio,6.77,10
Bread,Butter,6.19,13
Cucumber,Potato,5.92,14
Student,Professor,6.81,17
Intelligence,Student,4.62,18
Intelligence,Stupidity,5.81,19
Company,Stock,7.08,20
Stock,Stock market,8.08,21
Stock,Telephone,1.62,22
Stock,Compact Disc,1.31,23
Stock,Jaguar,0.92,24
Stock,Egg (food),1.81,25
Fertility,Egg (biology),6.69,26
Book,Library,7.46,29
Bank,Money,8.12,30
Woodland,Forest,7.73,31
Money,Cash,9.15,32
Professor,Cucumber,0.31,33
Monarch,Cabbage,0.23,34
Monarch,Queen regnant,8.58,35
Bishop,Rabbi,6.69,37
Jerusalem,Israel,8.46,38
Jerusalem,Palestinian people,7.65,39
Sacred,Sex,1.62,40
Fuck,Sexual intercourse,9.44,41
Diego Maradona,Association football,8.62,42
Football,Association football,9.03,43
Football,Basketball,6.81,44
Football,Tennis,6.63,45
Tennis,Racquet,7.56,46
Yasser Arafat,Peace,6.73,47
Yasser Arafat,Terrorism,7.65,48
Law,Lawyer,8.38,50
Film,Popcorn,6.19,52
Film,Theatre,7.92,54
Physics,Proton,8.12,55
Physics,Chemistry,7.35,56
Alcohol,Chemistry,5.54,58
Vodka,Gin,8.46,59
Vodka,Brandy,8.13,60
Drink,Automobile,3.04,61
Drink,Ear,1.31,62
Drink,Mouth,5.96,63
Drink,Eating,6.87,64
Infant,Mother,7.85,65
Drink,Mother,2.65,66
Coast,Shore,9.1,71
Noon,Noon,9.29,74
Furnace,Stove,8.79,75
Food,Fruit,7.52,76
Bird,Crane (bird),7.38,78
Sibling,Monk,6.27,80
Monk,Oracle,5,84
Cemetery,Woodland,2.08,85
Food,Rooster,4.42,86
Coast,Hill,4.38,87
Forest,Graveyard,1.85,88
Shore,Woodland,3.08,89
Monk,Slavery,0.92,90
Coast,Forest,3.15,91
Money,Dollar,8.42,97
Money,Currency,9.04,99
Money,Wealth,8.27,100
Money,Property,7.57,101
Money,Bank,8.5,103
Money,Withdrawal,6.88,105
Money,Money laundering,5.65,106
Tiger,Jaguar,8,108
Tiger,Felidae,8,109
Tiger,Carnivore,7.08,110
Tiger,Mammal,6.85,111
Tiger,Animal,7,112
Tiger,Organism,4.77,113
Tiger,Fauna,5.62,114
Tiger,Zoo,5.87,115
Psychology,Psychiatry,8.08,116
Psychology,Anxiety,7,117
Psychology,Fear,6.85,118
Psychology,Depression (mood),7.42,119
Psychology,Clinic,6.58,120
Psychology,Physician,6.42,121
Psychology,Sigmund Freud,8.21,122
Psychology,Mind,7.69,123
Psychology,Health,7.23,124
Psychology,Science,6.71,125
Psychology,Discipline,5.58,126
Psychology,Cognition,7.48,127
Planet,Star,8.45,128
Planet,Constellation,8.06,129
Planet,Moon,8.08,130
Planet,Sun,8.02,131
Planet,Galaxy,8.11,132
Planet,Astronomer,7.94,134
Precedent,Information,3.85,136
Precedent,Cognition,2.81,137
Precedent,Law,6.65,138
Jaguar,Cat,7.42,152
Jaguar Cars,Automobile,7.27,153
Energy,Secretary,1.81,154
Secretary,Senate,5.06,155
Energy,Laboratory,5.09,156
Computer,Laboratory,6.78,157
Weapon,Secrecy,6.06,158
Federal Bureau of Investigation,Fingerprint,6.94,159
Mars,Water,2.94,162
Mars,Scientist,5.63,163
News,Report,8.16,164
Canyon,Landscape,7.53,165
Image,Surface,4.56,166
Wednesday,News,2.22,170
Mile,Kilometre,8.66,171
Computer,News,4.47,172
Atmosphere,Landscape,3.69,174
President,Medal,3,175
War,Troop,8.13,176
Skin,Eye,6.22,178
Theatre,History,3.91,180
Volunteering,Motto,2.56,180
Century,Year,7.59,184
Century,Nation,3.16,185
Peace,Plan,4.75,189
Government,Crisis,6.56,192
Energy,Crisis,5.94,195
Stroke,Hospital,7.03,198
Disability,Death,5.47,199
Reason,Hypertension,2.31,207
100 (number),Percentage,7.38,209
Harvard University,Yale University,8.13,210
Hospital,Infrastructure,4.63,211
Lawyer,Evidence,6.69,214
Life,Death,7.88,215
Governor,Interview,3.25,219
OPEC,Country,5.63,220
Peace,Insurance,2.94,221
Competition,Price,6.44,225
Consumer,Confidence,4.13,226
Consumer,Energy,4.75,227
Problem,Airport,2.38,228
Grocery store,Money,5.94,233
Month,Hotel,1.81,236
Bed,Closet,6.72,239
Closet,Clothing,8,240
Impartiality,Interest,5.16,243
Street,City block,6.88,247
Street,Child,4.94,248
Dividend,Payment,7.63,256
Dividend,Calculation,6.48,257
Calculation,Computation,8.44,258
Currency,Market,7.5,259
OPEC,Petroleum,8.59,260
Petroleum,Stock,6.34,261
Dollar,Japanese yen,7.78,262
Computer,Computer software,8.5,270
5 (number),Month,3.38,275
Liquid,Water,7.89,278
Season (sports),Baseball,5.97,279
Game,Team,7.69,281
Seafood,Sea,7.47,286
Seafood,Food,8.34,287
Seafood,Lobster,8.7,288
Lobster,Food,7.81,289
Lobster,Wine,5.7,290
Video,Archive,6.34,292
Championship,Tournament,8.36,297
Day,Summer,3.94,300
Drought,Summer,7.16,301
Summer,Nature,5.63,302
Day,Dawn,7.53,303
Nature,Man,6.25,306
Man,Woman,8.3,307
Man,Governor,5.25,308
Murder,Manslaughter,8.53,309
Opera,Performance,6.88,311
Life,Lesson,5.94,312
Television,Film,7.72,315
Morality,Marriage,3.69,321
Mexico,Brazil,7.44,322
Family,Planning,6.25,325
Opera,Industry,2.63,326
Country,Citizenship,7.31,332
Planet,People,5.75,333
Experience,Music,3.47,335
Music,Project,3.63,336
Glass,Metal,5.56,337
Aluminium,Metal,7.83,338
Rock music,Jazz,7.59,342
Museum,Theater (structure),7.19,343
Observation,Architecture,4.38,344
Outer space,World,6.53,345
Weather,Weather forecasting,8.34,350
Disaster,Disaster area,6.25,351
Governor,Office,6.34,352
Architecture,Century,3.78,353
